"id","city","country_id/id","email","facebook","partner_latitude","date_localization","partner_longitude","industry_ids/id","industry_family_ids/id","is_company","linkedin","name","phone","state_id/id","street","street2","twitter","website","wikipedia","zip"
"studio_1820","Frederiksberg","base.dk","","","55.67939","2015-05-08","12.54812","res_partner_industry.broadcast_media","res_partner_industry.med","True","","BaconCph ","","","30 H. C. Ørsteds Vej","","","http://www.baconcph.com","","1879"
"studio_644","Culver City","base.us","","","34.02662","2015-05-08","-118.38981","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Baked FX ","","","3750 South Robertson Boulevard","","","http://www.bakedfx.com","","90232"
"studio_1646","Palma (Mallorca)","base.es","renatoroldan@balieristudio.es","","39.58706","2015-05-08","2.65067","res_partner_industry.animation,res_partner_industry.broadcast_media,res_partner_industry.computer_games,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Balieri studio ","","","KM 7 Carretera Valldemossa","","","http://www.balieristudio.es","","07120"
"studio_674","London","base.uk","info@banzai-pipeline.com","","51.48986","2015-05-08","-0.19011","res_partner_industry.computer_software","res_partner_industry.med","True","","Banzai Pipeline Ltd ","","","235 Earls Court Road W.8","","","http://www.banzai-pipeline.com","","SW5 9FE"
"studio_688","Frankfurt","base.de","mail@barbecue-design.de","","50.12516","2015-05-08","8.70675","res_partner_industry.broadcast_media,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Barbecue Mediendesign GmbH ","","","74 Arnsburger Straße","","","http://www.barbecue-design.de","","60385"
"studio_826","Vancouver","base.ca","info@bardel.ca","","49.28045","2015-05-08","-123.10941","res_partner_industry.animation,res_partner_industry.broadcast_media","res_partner_industry.med","True","","Bardel Entertainment Inc. ","","","548 Beatty Street","","","http://www.bardel.ca","","V6B 2L3"
"studio_976","Manchester","base.uk","info@barefootvfx.com","","53.50273","2015-05-08","-2.19387","res_partner_industry.animation,res_partner_industry.broadcast_media,res_partner_industry.computer_software,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Barefoot VFX Ltd ","","","Thorp Road","","","http://barefootvfx.com","","M40"
"studio_1306","Paris","base.fr","contact@barns.tv","","48.8563","2015-05-08","2.395","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Barns.tv ","","","146 Boulevard de Charonne","","","http://barns.tv","","75020"
"studio_510","Montreal","base.ca","info@barxseven.com","","45.52161","2015-05-08","-73.57433","res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","BarxSeven ","","","4001 Rue Berri","","","http://barxseven.com/","","H2L 4H2"
"studio_1015","London","base.uk","hr@baseblack.com","","51.51678","2015-05-08","-0.14061","res_partner_industry.animation,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Base Black ","","","18 Margaret Street","","","http://baseblack.com","","W1W"
"studio_1008","Joinville","base.br","dane@basedv.com.br","","-26.2968","2015-05-08","-48.8484","res_partner_industry.broadcast_media,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Base DV ","","","Rua Otto Boehm","","","http://www.basedv.com.br/","","89201-700"
"studio_1040","Beijing","base.cn","contact@base-fx.com","","39.90554","2015-05-08","116.44242","res_partner_industry.animation,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Base FX - China ","","","Jian Wai Er Tiao Jie","","","http://www.base-fx.com","","100600"
"studio_437","Wien","base.at","c.stejnar@basis-online.at","","48.18812","2015-05-08","16.36638","res_partner_industry.broadcast_media,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Basis ","","","4 Trappelgasse","","","http://www.basis-online.at","","1040"
"studio_549","Kansas City","base.us","jobs@bazillionpictures.com","","39.09029","2015-05-08","-94.58558","res_partner_industry.animation,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Bazillion ","","","118 Southwest Boulevard","","","http://www.bazillionpictures.com/","","64108"
"studio_925","London","base.uk","studio@beanimation.com","","51.50328","2015-05-08","-0.10002","res_partner_industry.broadcast_media","res_partner_industry.med","True","","BE Animation ","","","13 Risborough Street","","","http://beanimation.com","","SE1 0HF"
"studio_276","Geneve","base.ch","neil@bearfootfilms.com","","46.20272","2015-05-08","6.15955","res_partner_industry.animation","res_partner_industry.med","True","","Bearfootfilms ","","","8 Rue de Montchoisy","","","http://www.bearfootfilms.com","","1207"
"studio_1348","Ekaterinburg","base.ru","ceo@beatum.ru","","56.8295","2015-05-08","60.60138","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Beatum ","","","37 ulitsa 8 Marta","","","http://www.beatum.ru","","620014"
"studio_720","Los Angeles","base.us","info@beaustudio.com","","34.03366","2015-05-08","-118.37827","res_partner_industry.broadcast_media,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","Beau Studio ","","","La Cienega Avenue","","","http://www.beaustudio.com","","90034"
"studio_1765","Bruxelles","base.be","contact@bedigital.be","","50.84775","2015-05-08","4.33875","res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","BeDigital ","","","4 Rue de l'Abattoir","","","http://www.bedigital.be/","","1000"
"studio_1336","Los Angeles","base.us","brandon@bemo.tv","","34.09275","2015-05-08","-118.28068","res_partner_industry.broadcast_media","res_partner_industry.med","True","","BEMO ","","","4043 Sunset Boulevard","","","http://bemo.tv","","90029"
"studio_403","Portland","base.us","info@bentimagelab.com","","45.50507","2015-05-08","-122.63806","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Bent Image Lab ","","","2729 Southeast Division Street","","","http://bentimagelab.com","","97202"
"studio_91","Evere","base.be","hello@benuts.be","","50.85887","2015-05-08","4.41286","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Benuts ","","","775 Leuvensesteenweg","","","http://benuts.be","","1140"
"studio_1432","Dortmund","base.de","info@berz-pardun.de","","51.50503","2015-05-08","7.53202","res_partner_industry.animation,res_partner_industry.broadcast_media,res_partner_industry.design,res_partner_industry.entertainment","res_partner_industry.med","True","","Berz & Pardun GmbH ","","","32A Stockholmer Allee","","","http://www.berz-pardun.de","","44269"
"studio_1768","Le Barp","base.fr","","","44.63024","2015-05-08","-0.79317","res_partner_industry.broadcast_media,res_partner_industry.design,res_partner_industry.entertainment","res_partner_industry.med","True","","Beview ","","","Avenue du Medoc","","","http://beview.fr/","","33114"
"studio_383","Flensburg","base.de","frage@bewegtbild.com","","54.80993","2015-05-08","9.45493","res_partner_industry.broadcast_media","res_partner_industry.med","True","","Bewegtbild GmbH & Co. KG ","","","16 Fordepromenade","","","http://www.bewegtbild.com","","24944"
"studio_212","Kolkata","base.in","info@blowfishfx.com","","22.51584","2015-05-08","88.36531","res_partner_industry.animation,res_partner_industry.broadcast_media,res_partner_industry.computer_games,res_partner_industry.motion_pictures_and_film","res_partner_industry.med","True","","BFX CGI / Blowfish FX / Tripwire Visionworks ","","","483 Keyatala Lane","","","http://www.blowfishfx.com","","700029"
"studio_865","Toronto","base.ca","info@BFXinc.com","","43.70791","2015-05-08","-79.39332","res_partner_industry.animation,res_partner_industry.broadcast_media","res_partner_industry.med","True","","BFX Inc ","","","164 Eglinton Avenue East","","","http://www.BFXinc.com","","M4P 1A6"
